seen_webtoon,recom_webtoon,cosine_sim
36,124,0.9240109899506967
36,199,0.9205480509580511
36,837,0.9193676111965144
36,50,0.9155266449926636
36,140,0.9151380443468172
36,112,0.9117223749923344
37,6,0.9775443665650017
37,31,0.9428703252254048
37,905,0.9363377950807352
37,103,0.9354894215764148
37,64,0.9335765839139232
37,449,0.9308815303968886
37,22,0.9295552262321852
37,53,0.928030314384306
37,900,0.9277429202495152
38,27,0.9805140664564608
38,5,0.979250273052795
38,1119,0.9731978602135462
38,16,0.9718073465751508
38,185,0.9707465428441362
38,1162,0.9706148683814244
38,1110,0.9705958587411858
38,1065,0.9704729423297442
38,954,0.9698868173750476
39,1295,0.9481570123828686
39,107,0.9463012883032276
39,139,0.944307815375944
39,1196,0.943698463996708
39,32,0.9430982228384496
39,345,0.941723988033903
39,954,0.9415012182201012
39,706,0.9401159523067416
39,385,0.9400509901067596
40,218,0.9564524629000256
40,338,0.9563435933455238
40,189,0.9464122739117118
40,109,0.942706369992103
40,170,0.9392040780083007
40,199,0.935799265859652
40,94,0.9331097786470371
40,265,0.9314342259056728
40,50,0.9303550640583604
41,51,0.9929041057260154
41,723,0.9825192545995476
41,372,0.9761976178068772
41,850,0.9756473535417588
41,385,0.9737477883287968
41,113,0.9732592915872434
41,805,0.9729981088381596
41,251,0.9727328257230397
41,713,0.972619456853985
42,13,0.948984452317961
42,5,0.9364827510164284
42,975,0.9350356042792334
42,715,0.9323015552624913
42,24,0.9319611248241356
42,391,0.9301616938102673
42,19,0.9226320956887976
42,67,0.9224987855892244
42,76,0.9218257919336228
43,65,0.9400508175312354
43,461,0.9378931512082872
43,317,0.9200226082137464
43,291,0.9148738152856448
43,126,0.9131036490343089
43,17,0.9047676769828014
43,89,0.9006069357313433
43,444,0.8982915057405474
43,837,0.8978695108885814
44,461,0.9245432402916494
44,444,0.91736242400353
44,66,0.9142749379271524
44,291,0.9122738625903908
44,126,0.9115270047647276
44,138,0.9094043017292476
44,837,0.9068064682130316
44,17,0.9052960882165556
44,124,0.9025297425233696
45,295,0.903402047329504
45,444,0.8962909738984512
45,646,0.8913845399001903
45,658,0.8824761328958741
45,72,0.8767714783552341
45,228,0.8759306491205197
45,914,0.874454358352893
45,618,0.8728881610468696
45,190,0.8715309489009326
46,27,0.9790086063389488
46,51,0.9722408875843744
46,1119,0.9702448120504398
46,38,0.9694515983176152
46,5,0.9693694062491648
46,651,0.9666318118902528
46,1110,0.9652379533317434
46,102,0.9648570151646824
46,41,0.9638158651682562
47,8,0.9526369815361432
47,457,0.939181757400082
47,127,0.9239129150254684
47,584,0.9195709649314974
47,134,0.9193603462389534
47,131,0.9090011956383054
47,279,0.8842629487784344
47,282,0.882680389527434
47,585,0.8804851931867169
48,825,0.9623202848236584
48,361,0.9622881923547072
48,1000,0.9606252331103172
48,345,0.956638709793668
48,53,0.9564559098873926
48,1127,0.9557332055991284
48,388,0.95095690779128
48,57,0.947862734535767
48,1036,0.947663966382922
49,788,0.9064881858950428
49,507,0.9009839535374548
49,43,0.8978210759177268
49,461,0.8882122214387282
49,914,0.885120543451678
49,689,0.8723637225355978
49,427,0.8693054799148353
49,404,0.8681833107145631
49,247,0.8676012635562915
50,136,0.9835223591255084
50,112,0.9509633060343624
50,218,0.9446914811809296
50,199,0.9436019266081236
50,837,0.9431445107358356
50,275,0.9409270116149104
50,83,0.9396117940857144
50,746,0.9383112096177446
50,119,0.9362273360530868
51,41,0.9929041057260154
51,966,0.9801314962251302
51,191,0.9793814564103822
51,343,0.9793565538340104
51,251,0.978927105646018
51,530,0.9788795465187008
51,269,0.9786721860141092
51,266,0.9786247321785732
51,655,0.9783582356537694
52,90,0.9112427108221014
52,157,0.9093943282927144
52,806,0.887079804872629
52,225,0.8781498610200348
52,465,0.8634278622118575
52,502,0.8469516157644702
52,310,0.8391951823028598
52,702,0.8356392646798723
52,680,0.8312650384763236
53,7,0.9702336514021968
53,344,0.9659801915728294
53,900,0.9656989251748622
53,449,0.965692125608044
53,499,0.9644152010730244
53,455,0.9619702660556808
53,103,0.9618366137182676
53,432,0.9616473758920544
53,271,0.9614705414816438
54,7,0.9540819540868466
54,288,0.9384258334387136
54,1361,0.9324777766093736
54,209,0.9319791194402864
54,640,0.9307808988524444
54,754,0.929503179020608
54,255,0.9277460105989328
54,53,0.9276993282832828
54,56,0.9264305695855032
55,715,0.9767116568716194
55,59,0.9724150114458388
55,1083,0.9705556233078672
55,1408,0.9687752327356922
55,700,0.9681837793477076
55,955,0.9666288148844392
55,1131,0.9664622754633372
55,1524,0.965218429151241
55,881,0.9652152119170064
56,286,0.9545166617477636
56,108,0.9489371050903342
56,859,0.9479740206323288
56,731,0.9414126394737824
56,350,0.9387196680836084
56,370,0.9369317024245392
56,192,0.9327924138281992
56,195,0.932499942167147
56,794,0.9313690323288248
57,1042,0.9732527677899678
57,670,0.9718948346161242
57,1014,0.9718707015098852
57,856,0.9716121430560004
57,266,0.971438035683805
57,575,0.9711878387687916
57,269,0.9711797218114856
57,655,0.9705592170340956
57,392,0.9702320849794072
58,81,0.9813933625034102
58,677,0.9783321317355
58,25,0.97589516033454
58,193,0.9721493864070208
58,1002,0.9711244003870588
58,432,0.969059563989273
58,734,0.9685735424371829
58,183,0.9675655852613492
58,266,0.9654912397225816
59,1083,0.9774322912895268
59,700,0.9755693649256444
59,955,0.9727782668076166
59,55,0.9724150114458388
59,1386,0.9707931170530042
59,1408,0.9688069109592012
59,381,0.9684686513655354
59,1524,0.968249032201486
59,1224,0.9655933974058776
60,632,0.9367892357986368
60,109,0.9346940145887276
60,87,0.9338255499250524
60,277,0.9335886976935214
60,475,0.9302341032779268
60,803,0.9297510272596012
60,124,0.9284056418887766
60,138,0.9265092782304694
60,217,0.924271677360844
61,289,0.9659306513417962
61,1144,0.954303416506436
61,1158,0.9538731056689176
61,311,0.9534638529105106
61,146,0.9533997290405892
61,223,0.9472235594111432
61,742,0.945316221604386
61,367,0.9404993009333448
61,258,0.9400998401723264
62,14,0.9724328567911436
62,1071,0.972062977423866
62,1364,0.9710752205467104
62,1422,0.966819435454203
62,301,0.966120750128032
62,383,0.9656315705919056
62,574,0.9652299183776212
62,781,0.9633289829536044
62,1083,0.9577864573604388
63,256,0.9707527555173692
63,258,0.9532563999359308
63,831,0.9369949885749052
63,1144,0.929626564421464
63,322,0.9293719308420818
63,1268,0.9218145720554328
63,595,0.9199546577421134
63,79,0.9186884428958066
63,398,0.917725072561416
64,354,0.9528231937319602
64,863,0.948220601547551
64,6,0.9408899754673752
64,37,0.9335765839139232
64,900,0.932550639785244
64,196,0.9275837941516676
64,260,0.9272303981889292
64,302,0.9219430897838062
64,76,0.9219377072647909
65,317,0.9534547057452806
65,291,0.9513832575054632
65,43,0.9400508175312354
65,409,0.9391817744975228
65,126,0.9389077548461018
65,461,0.9377847958223512
65,427,0.9237331170391098
65,837,0.923658331185118
65,458,0.9197992835697868
66,837,0.9615453108199714
66,126,0.958864200491953
66,746,0.9584478413853192
66,444,0.9526564010127452
66,461,0.9516625012318276
66,291,0.9490575540770608
66,458,0.9465240557744146
66,914,0.9454169320513164
66,80,0.9405610357236884
67,975,0.9881645440621056
67,1346,0.9772095178181376
67,1128,0.972195787097254
67,1303,0.9704329089226744
67,1480,0.9684506061960348
67,715,0.9673365424623258
67,1305,0.9670843157266094
67,705,0.9660267205660108
67,1213,0.9651334091222196
68,1151,0.9977001844529156
68,1324,0.9965711687248742
68,880,0.9960520740525418
68,770,0.9929041461245056
68,522,0.9880011479299184
68,669,0.9871121596660823
68,767,0.9860023489043708
68,1223,0.9843274915560388
68,727,0.9804782636667164
69,176,0.9532858135934272
69,594,0.9496496844055358
69,1191,0.9484686399972956
69,985,0.9477124953741664
69,625,0.9426407653626782
69,534,0.9422527278942372
69,1242,0.9412861701460462
69,129,0.9406785552149678
69,1291,0.9401896977737836
70,1225,0.9691548405087008
70,115,0.965909862578031
70,810,0.9658604744394196
70,177,0.9653442253406564
70,801,0.953340085664776
70,1077,0.949108731478425
70,364,0.9484882533526426
70,548,0.9445028961870496
70,833,0.944039073590078
71,309,0.9704837465549015
71,616,0.9665112619823256
71,970,0.9636494918217252
71,212,0.9590638113101602
71,84,0.9588965317219345
71,232,0.956648003614667
71,904,0.9554418320754878
71,11,0.954295607317404
71,32,0.9541586660697968
72,1261,0.9674219193452326
72,1081,0.964938574549175
72,525,0.9605997830491044
72,295,0.9601016969966544
72,728,0.9595971588926872
72,964,0.959416930191094
72,1012,0.9590137784202106
72,606,0.9575559376374236
72,402,0.9566618760079209
73,586,0.9575040413445604
73,756,0.955526479878718
73,383,0.9528062579578114
73,449,0.9526767334960956
73,377,0.9524007861430268
73,315,0.9514721887004284
73,420,0.94536716551931
73,542,0.941828351057206
73,1422,0.9407744374767368
74,110,0.9625449449095276
74,502,0.9040058406316868
74,310,0.9001582159920195
74,806,0.8883926799111435
74,90,0.8669626784585016
74,47,0.8569373297999116
74,8,0.8517683065146087
74,450,0.8511163457290991
74,465,0.8467832328052879
75,596,0.9560913317234369
75,411,0.9521208051761816
75,99,0.9387296171116416
75,229,0.9288478069621506
75,303,0.9243963150698544
75,680,0.9239021874069024
75,236,0.9190954526306632
75,576,0.9181881280225784
75,637,0.9107594348985176
76,67,0.963304690206272
76,556,0.9615819249440474
76,670,0.9604543618471224
76,677,0.9598298013038002
76,1042,0.9588944085910364
76,975,0.9587781745932288
76,1002,0.9585885185605858
76,734,0.9564554174232696
76,712,0.953872035772213
77,566,0.958937799236944
77,449,0.9552546224668494
77,363,0.9533552508101022
77,213,0.9530879121661632
77,415,0.9509717694843064
77,103,0.9501578305291049
77,640,0.9484869654539914
77,208,0.9473118839600396
77,160,0.9468752707127808
78,394,0.94037392620502
78,249,0.939442604062364
78,641,0.936086154051724
78,988,0.9338320352451904
78,1228,0.9199325223710804
78,434,0.9146513540033288
78,817,0.9140911619075084
78,1405,0.9098491196736384
78,238,0.8981205466874278
79,73,0.9375549389689676
79,634,0.936176715660246
79,632,0.9323073070946792
79,479,0.9312544549309248
79,235,0.929513477683618
79,208,0.929480556854909
79,302,0.9265714413771516
79,315,0.926214949340035
79,83,0.9218866191720084
80,998,0.9769930495716376
80,987,0.9625376341562796
80,644,0.94742140774061
80,244,0.9472182864794598
80,475,0.94663358069022
80,255,0.9455454360421948
80,698,0.9452781084954208
80,295,0.9451610515394152
80,333,0.944670039980218
81,25,0.9988167079498254
81,193,0.9928693013119148
81,183,0.9850168438800776
81,203,0.9829559386717645
81,58,0.9813933625034102
81,966,0.977409219890746
81,266,0.9769982210821392
81,191,0.976686286748817
81,269,0.9763981627001757
82,474,0.9804591716982743
82,740,0.9803590516079332
82,347,0.9793946761794856
82,924,0.9736967053245672
82,1124,0.9729716992701314
82,728,0.9724918511106382
82,983,0.9714897748942782
82,118,0.9714422560524072
82,714,0.9713938701311692
83,208,0.9750411581128328
83,15,0.973985202362046
83,235,0.9703933689732652
83,486,0.9678626508754288
83,29,0.9651999925928942
83,302,0.965146737254396
83,475,0.9624258890408846
83,189,0.9569976075099432
83,542,0.9567657519933024
84,232,0.974441695859855
84,616,0.9726181091522323
84,353,0.9690063601376496
84,182,0.9658343739318804
84,51,0.965148078606208
84,677,0.964981836962496
84,819,0.964386767500892
84,266,0.9642109987303872
84,624,0.9630836138791736
85,1062,0.9988674085610036
85,845,0.9985336295719094
85,749,0.9979164449586784
85,714,0.9972429214451786
85,441,0.996894455723686
85,861,0.995931755123375
85,775,0.9959112752897514
85,342,0.9958222770875044
85,384,0.994991435055922
86,102,0.9699500433648937
86,51,0.9698220021093228
86,192,0.9684482685930512
86,11,0.9684112749302268
86,41,0.9680822939986152
86,232,0.966390700230742
86,139,0.9646646520638786
86,1216,0.9637453754142856
86,46,0.9636655079632384
87,289,0.9695950352704584
87,311,0.9660927612922332
87,217,0.9651376834939795
87,277,0.9568637168741974
87,632,0.9521233819383332
87,1158,0.950492836349951
87,147,0.9455659577565192
87,496,0.9452194557873982
87,946,0.9438068488422938
88,36,0.9663794477182092
88,124,0.9646594566969112
88,94,0.961618823345896
88,109,0.9455217045780956
88,338,0.9454940797747252
88,138,0.9434502089206664
88,837,0.9383601833844616
88,218,0.936898016848045
88,199,0.9343668971385976
89,36,0.968670302363976
89,837,0.939436785893784
89,88,0.9287172009717728
89,140,0.923594181965914
89,317,0.911994402849066
89,50,0.9109883619179332
89,124,0.9070654368010856
89,199,0.906848634141006
89,746,0.9054100606191025
90,465,0.97167134256341
90,806,0.9518683675202524
90,157,0.9509806410976964
90,502,0.939533042267996
90,680,0.9355603773328198
90,225,0.9241634646257868
90,52,0.9112427108221014
90,310,0.9047591060468664
90,450,0.9036400431785852
91,862,0.9718832620728984
91,1186,0.95693766672935
91,1249,0.9556010212191216
91,1386,0.9555782009229832
91,1043,0.9526140994572124
91,850,0.949740349412126
91,1147,0.9493347271332684
91,59,0.9484184410565418
91,1216,0.9478019842502629
92,203,0.982812566218598
92,32,0.9793609997960752
92,183,0.9784013300482756
92,21,0.9719046177291276
92,380,0.9706007836974058
92,838,0.9704802812101124
92,292,0.9704328820994992
92,193,0.9682876026159536
92,25,0.9682062723710664
93,762,0.9506034638604768
93,493,0.9418818428530328
93,203,0.9374903768416172
93,1003,0.935085714404194
93,193,0.9332940963924852
93,32,0.9292863268006358
93,1170,0.9267928024550032
93,838,0.924914123925724
93,560,0.9244633031472422
94,338,0.9726463375888192
94,218,0.962116385515974
94,88,0.961618823345896
94,486,0.9552487324551472
94,497,0.953771812648319
94,754,0.9530832504309996
94,119,0.952608319120021
94,475,0.9511447024671018
94,109,0.9506726429942768
95,748,0.9807481987829682
95,1139,0.9758130620721928
95,1204,0.974882287902748
95,1367,0.9714454883490956
95,1254,0.971123495559552
95,1385,0.9703728923392916
95,732,0.9653462794415008
95,870,0.9623928587211672
95,572,0.9616408971500996
96,312,0.9524200788857192
96,472,0.9414159106548322
96,280,0.936463289733504
96,826,0.9317440209682512
96,601,0.930818339803131
96,1059,0.922253311058234
96,968,0.9217371422174184
96,362,0.9211087880602268
96,725,0.9177152477572804
97,284,0.9690783180756836
97,475,0.9648028118608744
97,160,0.9610696236025048
97,754,0.9603108114062824
97,640,0.9599749159137974
97,344,0.9596956061396829
97,184,0.9592829752345936
97,415,0.9587990919839182
97,15,0.9583326373041168
98,963,0.9855114849636282
98,51,0.973269620484342
98,113,0.9697618774394212
98,471,0.9696851313298548
98,1196,0.9694034791619868
98,30,0.9691752641210624
98,557,0.969087695594994
98,1097,0.9685888955992026
98,1495,0.968579114385414
99,351,0.9700149893737948
99,362,0.9453681789566868
99,304,0.9438617983742936
99,411,0.940123058802772
99,75,0.9387296171116416
99,906,0.9352573939519352
99,1050,0.9325420295118708
99,563,0.9292506957417056
99,535,0.9260323278748208
100,1439,0.9953340270032184
100,1462,0.992526041074844
100,1063,0.992362919733509
100,294,0.9916055466221324
100,777,0.9876056849463768
100,657,0.9874280599804898
100,1095,0.9862033572233044
100,898,0.9835165819561724
100,1393,0.9821765660141754
101,188,0.9620922735492324
101,702,0.9196429582704118
101,483,0.9130411829443792
101,783,0.9123243604628208
101,596,0.908699081999546
101,1043,0.9070584543976976
101,141,0.9013097692477468
101,1035,0.9000621269121989
101,91,0.893293902622451
102,453,0.9763254746302954
102,51,0.9736595291127342
102,978,0.9722573675135936
102,41,0.9713060705416968
102,624,0.9711880629936815
102,86,0.9699500433648937
102,260,0.9693702924795148
102,113,0.9690891602894296
102,459,0.9689515517842529
103,449,0.9784566301661084
103,900,0.9714208143485727
103,756,0.9697604687623546
103,113,0.9677915649030516
103,566,0.9670886948178276
103,747,0.9650620417531846
103,27,0.9640818516112
103,22,0.9631568909876732
103,102,0.962987723014127
104,868,0.969539529905322
104,451,0.9694313904594568
104,799,0.9644298425254798
104,905,0.9588258975376912
104,1253,0.9504476473457028
104,31,0.9498688084145936
104,1153,0.9439810193920404
104,120,0.9405143833572632
104,1281,0.9398002100409466
105,1056,0.9623078814498
105,2,0.95680009830307
105,511,0.9560871724262756
105,768,0.9493604736122558
105,1291,0.9489402538519488
105,926,0.94833456507266
105,1129,0.9470080505808628
105,492,0.9460485048087608
105,1033,0.9415019261880694
106,938,0.9558799328774712
106,459,0.9556579572814424
106,776,0.9554911913042654
106,1452,0.9542829013025472
106,1186,0.9536769688427152
106,1003,0.9533360277198832
106,978,0.9530649875121812
106,416,0.9526935032711588
106,581,0.9522884222313844
107,231,0.9609319642255394
107,627,0.9506681493212016
107,139,0.950503263373695
107,1025,0.9502052834432548
107,553,0.9496391005956766
107,203,0.9482470586913928
107,86,0.9481658657982228
107,687,0.9475369416363304
107,192,0.9474101248256738
108,192,0.9848719353750246
108,859,0.9743611795843702
108,944,0.9717936177593572
108,731,0.9699209510663672
108,400,0.9680959353752938
108,231,0.9665953610339172
108,488,0.9654140626381104
108,553,0.9650124946794604
108,1115,0.9646647108271752
109,338,0.9612999182201158
109,159,0.9561112134270948
109,199,0.9560838599947484
109,124,0.955551894758618
109,837,0.9553047516280652
109,746,0.9521283508579405
109,94,0.9506726429942768
109,155,0.949592166342166
109,218,0.949056362502523
110,74,0.9625449449095276
110,310,0.8989477657761387
110,502,0.8967681527028718
110,806,0.8822220185827955
110,47,0.880209512170254
110,8,0.8765878977236452
110,90,0.841801082256734
110,702,0.832855238881502
110,465,0.8305575361807103
111,869,0.9468413530310492
111,1431,0.9404127232589308
111,18,0.9387548059233042
111,330,0.9384061578193484
111,1333,0.937756329850443
111,435,0.9366732445214776
111,1114,0.9278879084519236
111,909,0.9259228390227
111,1313,0.9229685754047432
112,50,0.9509633060343624
112,826,0.9381895812149512
112,199,0.9362312679397622
112,218,0.9356963629986148
112,275,0.9287938683582312
112,136,0.9233085344928352
112,245,0.9228132114848546
112,162,0.9224240903292542
112,242,0.9213316301884008
113,27,0.9814788133843724
113,28,0.9785448042923196
113,148,0.9777848709285348
113,41,0.9732592915872434
113,51,0.97166984819252
113,98,0.9697618774394212
113,102,0.9690891602894296
113,185,0.9686729354403414
113,1249,0.9681539140516215
114,1189,0.9458171219351184
114,788,0.9442070109998052
114,689,0.9408938951942662
114,277,0.936719163708345
114,803,0.93415357886752
114,947,0.9338258172820464
114,289,0.9333055222630304
114,507,0.9325908138153254
114,496,0.9281983823565738
115,833,0.9926876648821202
115,810,0.9874356646529976
115,364,0.982102706068086
115,177,0.9815671135541332
115,1123,0.9733202354086806
115,982,0.9700622737438716
115,921,0.969953738940714
115,201,0.9688034869751254
115,1526,0.9686945251160785
116,311,0.9562994791695314
116,742,0.9528898295809825
116,289,0.9502075833233644
116,636,0.9438253139089924
116,1158,0.940563126679818
116,277,0.9392613778556512
116,61,0.9358755913085968
116,217,0.9295117967499682
116,946,0.9290401183075404
117,1028,0.9763043652907206
117,831,0.9668148255086578
117,876,0.962644614172916
117,958,0.9601666599712172
117,1268,0.9601616702145348
117,796,0.959707990012872
117,679,0.9575768249017
117,726,0.9517171916431196
117,1022,0.950529508858218
118,332,0.9952718107785218
118,347,0.993565941509598
118,428,0.9926718084179404
118,964,0.9918198656159658
118,606,0.9874680848299762
118,306,0.9873303292331468
118,635,0.9872043825120022
118,1264,0.9864870078665348
118,924,0.9864779355264296
119,218,0.9598834285117048
119,94,0.952608319120021
119,199,0.9489318961134722
119,189,0.9463588595280052
119,754,0.9463089778421102
119,136,0.9459368616260276
119,208,0.944538660410016
119,83,0.9437130651277954
119,15,0.9419305744776492
120,544,0.9593861966143118
120,853,0.9427897589192358
120,1253,0.941212045173259
